feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,class
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.33,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,5.33,1.5,12.0,0.0,4.0,0.67,0.67,8.0,1.0,0.0,0.0,2.0,0.25,1.0,3.0,1.0,3.0,4.0,0.0,3.0,0
3.0,5.0,3.0,0.0,1.0,6.0,3.0,0.27,2.0,3.0,2.0,0.67,13.0,3.0,1.0,11.0,1.0,1.0,0.33,29.72,13.6,5496.65,0.13,85.0,0.07,305.37,404.17,1.0,2.0,3.0,12.0,0.19,34.0,51.0,15.0,12.0,16.0,8.33,11.0,0
8.0,22.0,35.0,0.0,0.0,16.0,15.0,0.14,8.0,2.0,14.0,0.93,109.0,5.0,0.29,107.0,0.0,15.0,1.0,189.82,24.81,116852.98,1.57,675.0,0.04,6491.83,4709.66,0.33,4.0,8.0,96.0,0.13,263.0,412.0,106.0,20.0,118.0,0.0,107.0,1
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.33,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,3.62,5.0,90.47,0.01,7.0,0.2,5.03,18.09,1.0,0.0,0.0,2.0,0.25,2.0,5.0,1.0,5.0,4.0,0.0,3.0,0
0.0,4.0,3.0,0.0,0.0,0.0,3.0,0.27,0.0,0.0,2.0,0.67,10.0,1.0,0.0,11.0,0.0,2.0,0.67,17.22,9.29,1484.89,0.05,37.0,0.11,82.49,159.91,0.33,0.0,0.0,9.0,0.25,10.0,27.0,7.0,13.0,12.0,0.0,11.0,0
0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,1.0,1.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,11.86,4.38,227.03,0.02,15.0,0.23,12.61,51.89,1.0,0.0,0.0,4.0,0.2,5.0,10.0,4.0,7.0,5.0,0.0,4.0,0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.33,1.5,12.0,0.0,4.0,0.67,0.67,8.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0
2.0,7.0,5.0,0.0,2.0,0.0,5.0,0.2,0.0,0.0,4.0,0.8,23.0,1.0,0.0,25.0,0.0,4.0,0.8,38.54,15.17,8866.36,0.19,118.0,0.07,492.58,584.6,0.2,0.0,0.0,20.0,0.17,42.0,76.0,18.0,13.0,30.0,7.41,25.0,0
7.0,12.0,7.0,0.0,3.0,4.0,8.0,0.17,2.0,2.0,6.0,0.75,44.0,1.0,0.0,48.0,0.0,6.0,0.75,63.66,24.16,37151.02,0.51,266.0,0.04,2063.94,1537.84,0.13,1.0,2.0,38.0,0.13,108.0,158.0,38.0,17.0,60.0,5.88,48.0,0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.33,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,3.62,5.0,90.47,0.01,7.0,0.2,5.03,18.09,1.0,0.0,0.0,2.0,0.25,2.0,5.0,1.0,5.0,4.0,0.0,3.0,0
0.0,3.0,3.0,0.0,0.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,8.0,1.0,0.0,9.0,1.0,2.0,1.0,17.88,9.33,1557.81,0.06,38.0,0.11,86.54,166.91,0.5,1.0,2.0,8.0,0.2,14.0,24.0,9.0,12.0,10.0,0.0,9.0,0
0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,1.0,1.0,3.0,1.0,0.0,5.0,0.0,1.0,1.0,26.28,4.2,463.52,0.04,27.0,0.24,25.75,110.36,1.0,0.0,0.0,4.0,0.17,12.0,15.0,10.0,7.0,6.0,0.0,5.0,0
8.0,16.0,13.0,0.0,9.0,20.0,10.0,0.22,10.0,2.0,8.0,0.8,56.0,1.0,0.0,46.0,2.0,7.0,0.7,65.15,27.14,47999.33,0.59,297.0,0.04,2666.63,1768.4,0.1,5.0,10.0,48.0,0.15,114.0,183.0,42.0,20.0,65.0,16.36,46.0,0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.33,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,3.62,5.0,90.47,0.01,7.0,0.2,5.03,18.09,1.0,0.0,0.0,2.0,0.25,2.0,5.0,1.0,5.0,4.0,0.0,3.0,0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,7.3,5.0,182.48,0.01,13.0,0.2,10.14,36.5,1.0,0.0,0.0,2.0,0.2,4.0,9.0,2.0,5.0,5.0,0.0,4.0,0
