feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,class
11.0,35.0,10.0,0.0,5.0,58.0,18.0,0.28,24.0,2.42,12.0,0.67,85.0,10.0,0.0,64.0,3.0,81.86,19.83,32200.08,0.54,264.0,0.05,1788.89,1623.53,0.56,17.0,29.0,69.0,0.22,126.0,138.0,54.0,17.0,81.0,7.25,64.0,0
3.0,3.0,4.0,0.0,2.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,9.0,1.0,0.0,9.0,1.0,26.74,5.33,760.66,0.05,33.0,0.19,42.26,142.62,0.5,1.0,2.0,9.0,0.13,16.0,17.0,12.0,8.0,15.0,18.18,9.0,0
1.0,3.0,2.0,0.0,0.0,4.0,2.0,0.2,2.0,2.0,2.0,1.0,7.0,1.0,0.0,10.0,3.0,22.64,5.73,742.59,0.04,30.0,0.17,41.25,129.66,0.5,1.0,2.0,7.0,0.17,14.0,16.0,11.0,9.0,12.0,0.0,10.0,0
4.0,9.0,14.0,0.0,2.0,12.0,5.0,0.21,6.0,2.0,5.0,1.0,32.0,1.0,0.0,24.0,2.0,94.27,5.25,2598.43,0.16,93.0,0.19,144.36,494.94,0.2,3.0,6.0,29.0,0.16,42.0,51.0,32.0,8.0,31.0,7.69,24.0,0
4.0,11.0,6.0,0.0,3.0,12.0,7.0,0.25,6.0,2.0,7.0,1.0,26.0,1.0,0.0,28.0,0.0,37.56,11.33,4824.95,0.14,83.0,0.09,268.05,425.73,0.14,3.0,6.0,21.0,0.19,34.0,49.0,21.0,14.0,36.0,9.68,28.0,0
9.0,11.0,3.0,0.0,7.0,12.0,7.0,0.11,6.0,2.0,4.0,0.57,29.0,1.0,0.0,64.0,0.0,57.9,25.29,37041.01,0.49,250.0,0.04,2057.83,1464.5,0.14,3.0,6.0,24.0,0.09,122.0,128.0,41.0,17.0,81.0,9.86,64.0,0
3.0,3.0,5.0,1.0,4.0,4.0,2.0,0.11,2.0,2.0,2.0,1.0,11.0,1.0,0.0,17.0,2.0,39.07,7.06,1946.71,0.09,58.0,0.14,108.15,275.78,0.5,1.0,2.0,11.0,0.08,24.0,34.0,17.0,10.0,26.0,22.73,18.0,0
30.0,50.0,17.0,0.0,25.0,82.0,26.0,0.23,36.0,2.28,20.0,0.77,134.0,9.0,0.0,112.0,0.0,95.37,34.67,114633.41,1.1,483.0,0.03,6368.52,3306.37,0.35,23.0,41.0,110.0,0.15,226.0,257.0,88.0,27.0,168.0,18.25,112.0,1
2.0,7.0,4.0,0.0,0.0,12.0,4.0,0.33,6.0,2.0,3.0,0.75,15.0,1.0,0.0,12.0,0.0,27.49,6.42,1132.02,0.06,39.0,0.16,62.89,176.42,0.25,3.0,6.0,13.0,0.27,14.0,25.0,12.0,11.0,15.0,0.0,12.0,0
3.0,3.0,5.0,0.0,2.0,4.0,2.0,0.18,2.0,2.0,2.0,1.0,11.0,1.0,0.0,11.0,1.0,33.46,3.0,301.14,0.03,28.0,0.33,16.73,100.38,0.5,1.0,2.0,11.0,0.12,12.0,16.0,8.0,4.0,17.0,15.38,11.0,0
