feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,class
126,339,101,0,0,0,0,5,152,0,0,0,116,0,24,0,21,0,4,0,64,35,15,75,0,77,2,0,0,0,0,22,0,224,211,77,184,468,0,144,58,280,103,0,0,0,0,0,0,88,0,50,225,86,0,0,48,0,0,0,0,0,375,104,0,346,0,0,0,0,0,0,152,395,15,2,0,0,133,0,0,12,34,38,0,23,105,14,3,0,123,72,0,28,39,0,0,10,0,0,0
143,279,57,0,0,0,0,0,171,0,0,3,104,0,16,0,0,0,0,5,0,5,9,51,0,60,0,0,0,0,0,0,0,298,214,0,178,451,0,102,0,264,0,0,0,0,0,0,0,43,0,0,237,78,0,0,0,17,0,0,0,0,357,131,107,342,0,64,0,0,0,0,67,390,0,0,0,0,69,0,0,21,0,28,0,0,108,9,35,0,124,67,0,34,41,0,0,0,0,0,0
0,0,403,0,28,0,11,0,266,546,53,124,309,0,548,45,9,0,0,285,54,0,0,216,0,137,144,30,0,8,74,2,34,0,0,58,38,0,0,6,96,145,10,0,113,0,1,0,25,20,473,63,12,43,6,0,32,0,109,0,122,35,37,0,0,125,25,0,0,0,0,20,53,4,73,89,0,0,11,0,0,0,0,0,75,11,283,0,72,74,283,85,78,33,27,88,355,3,0,0,0
318,248,251,0,0,0,0,0,420,12,294,164,418,65,78,0,49,0,56,410,0,123,0,278,31,40,0,0,0,54,216,15,0,74,139,40,156,385,0,144,251,137,0,46,10,0,111,70,343,285,39,0,100,287,0,189,154,0,35,0,397,155,364,0,91,295,0,0,0,0,0,27,48,408,21,116,0,0,149,13,7,0,86,72,18,0,376,0,0,34,411,22,324,0,19,32,23,62,19,0,0
0,0,305,0,0,17,33,0,405,108,302,321,471,191,47,0,186,0,0,468,21,127,15,333,0,73,0,0,0,21,0,0,17,0,0,101,199,346,0,124,694,122,48,129,56,0,28,0,177,29,8,0,89,243,6,157,491,0,108,0,387,413,308,0,38,126,0,1,115,61,0,10,19,346,0,0,0,0,97,0,281,15,76,0,18,0,431,40,106,22,425,40,314,0,224,16,0,59,7,0,1
128,75,438,0,0,0,0,0,144,0,30,105,225,4,27,0,11,0,0,541,0,0,0,357,0,79,136,0,0,0,0,0,10,198,161,19,390,713,22,24,110,239,61,12,0,16,0,0,103,106,22,0,14,63,0,0,243,74,0,0,496,15,65,0,74,628,12,0,25,0,0,0,46,680,0,6,0,0,44,0,51,3,0,0,0,0,0,0,0,0,545,65,426,75,145,0,0,0,0,0,1
149,354,47,13,4,0,0,0,154,2,0,2,153,0,2,0,0,131,0,64,46,23,0,182,25,0,205,0,0,0,0,36,11,334,308,126,225,403,0,158,0,217,13,0,0,0,0,0,43,40,0,0,572,73,0,33,0,26,0,0,0,3,481,246,0,312,0,11,0,0,9,0,6,389,0,0,31,0,0,11,0,0,59,111,8,23,186,116,37,0,96,8,0,75,49,0,0,18,0,28,0
166,304,19,0,0,0,0,98,149,36,105,0,94,0,22,0,197,0,0,18,141,0,0,153,49,46,0,0,0,0,0,15,0,245,305,190,176,404,0,74,246,170,113,102,10,0,5,0,59,32,0,68,470,99,0,0,337,0,0,0,0,225,475,0,72,282,0,51,0,0,0,0,81,377,0,0,99,0,12,25,120,0,0,43,29,0,176,137,0,0,113,0,0,63,25,27,0,42,71,1,1
49,0,147,0,0,21,27,0,364,158,292,121,527,142,185,0,146,0,0,515,0,106,0,239,31,79,0,0,0,6,0,0,4,0,0,62,76,426,0,114,621,31,0,94,53,0,61,28,199,213,122,0,79,256,0,140,506,48,60,40,318,421,377,0,35,136,0,55,30,18,0,31,0,427,195,0,0,0,21,0,303,1,57,97,45,2,444,47,0,67,380,13,260,23,69,67,73,48,0,0,0
0,0,272,0,23,0,16,75,236,230,422,166,470,249,245,0,182,0,0,462,10,166,0,326,72,23,0,0,0,0,0,48,6,0,0,49,2,265,0,222,532,124,36,103,79,0,186,0,423,0,178,0,170,0,0,221,393,29,38,0,475,343,306,0,24,60,0,0,0,0,0,0,42,268,17,0,0,62,29,7,219,0,92,0,15,0,426,58,0,0,250,81,386,0,8,56,121,55,0,2,0
143,73,493,0,0,13,0,0,150,1,42,107,282,5,19,0,0,0,0,588,0,58,0,363,0,15,0,0,0,0,178,83,0,191,170,21,375,757,0,32,64,302,0,0,4,0,2,0,154,89,13,0,65,78,0,0,147,107,0,0,322,2,63,0,0,720,17,0,33,0,0,0,68,732,58,11,0,0,7,0,0,0,0,0,0,0,0,0,0,0,539,102,281,71,139,0,0,0,0,0,1
0,0,277,0,0,0,13,47,103,284,443,67,463,226,263,14,135,0,21,453,0,172,0,329,44,67,0,0,0,0,140,70,0,0,0,128,0,215,0,224,549,119,0,77,119,0,154,0,360,0,189,144,132,0,0,164,379,0,65,0,398,363,255,5,19,61,0,2,0,0,0,0,58,215,0,13,0,39,5,0,202,0,94,0,60,0,412,49,27,7,111,0,320,0,0,90,117,32,0,0,0
193,153,201,0,0,0,0,10,462,99,379,88,336,191,118,0,70,0,0,352,0,131,0,200,26,0,0,0,0,0,299,0,0,118,216,33,53,358,0,122,465,51,22,54,0,0,119,0,475,147,78,111,80,145,0,212,394,13,121,0,335,138,243,0,44,281,0,0,109,0,0,7,0,365,0,0,0,9,24,5,191,1,53,113,0,13,285,0,4,0,462,0,252,0,26,0,46,0,0,21,0
110,300,109,0,0,0,0,0,161,0,78,5,125,0,25,0,38,0,0,0,0,0,0,74,0,71,0,0,0,0,0,61,0,391,214,0,227,479,0,50,100,310,20,0,0,0,0,15,105,66,0,0,200,159,0,0,82,0,0,0,0,7,413,271,0,384,0,4,0,0,0,3,43,414,0,0,0,0,0,0,0,5,28,57,0,0,106,17,73,0,115,77,0,29,65,0,0,17,1,4,1
119,90,467,0,0,0,6,0,97,0,114,70,191,106,33,0,30,0,0,605,0,37,5,375,0,106,114,0,0,0,0,0,0,147,164,135,297,695,0,42,143,246,16,0,0,0,67,0,374,107,33,31,39,26,0,111,278,0,0,0,381,0,58,0,14,573,61,0,19,17,0,0,27,677,44,0,0,0,52,0,97,0,0,0,0,0,0,0,0,0,237,71,330,20,145,0,0,0,0,30,0
170,305,37,0,0,2,0,0,196,0,0,0,131,0,36,0,0,20,0,4,0,12,4,36,0,3,17,0,0,0,0,46,0,220,174,28,219,460,0,101,18,211,75,0,0,0,0,0,0,55,0,0,229,95,0,0,0,0,0,0,0,0,353,67,0,319,0,42,0,0,0,0,25,398,0,0,0,0,40,0,0,58,45,8,0,1,122,16,0,0,120,45,0,17,62,0,0,2,0,0,1
138,284,66,0,0,3,0,212,173,21,10,9,106,0,38,0,270,48,0,0,96,0,0,72,12,79,0,0,0,0,0,0,0,239,264,133,181,489,0,86,322,256,0,57,0,0,0,0,0,47,0,24,421,93,30,4,367,0,0,0,0,145,389,2,427,339,0,0,0,28,0,0,48,426,13,75,8,12,36,22,130,0,41,35,20,0,101,138,10,0,113,0,0,28,68,7,0,17,0,0,1
105,60,488,0,0,0,0,0,139,0,126,103,163,80,4,0,27,0,0,604,0,108,0,388,0,74,2,0,0,0,0,0,0,200,145,93,351,727,5,91,200,311,0,0,0,0,38,0,275,89,0,59,32,35,0,48,350,0,38,0,477,17,80,0,16,712,56,11,176,0,0,0,74,692,188,19,0,0,9,0,137,21,0,0,0,0,4,0,18,0,220,0,399,51,136,0,0,0,0,0,1
0,0,90,0,0,0,4,53,316,108,614,183,339,342,115,12,195,0,2,339,0,194,160,194,78,94,0,0,0,0,0,60,10,0,0,125,93,206,0,185,510,27,3,118,39,0,189,0,428,0,44,80,142,112,0,293,381,0,7,0,278,433,119,0,76,62,0,175,0,0,0,13,41,209,0,0,0,44,205,49,204,48,82,0,35,0,293,33,92,0,341,0,225,37,98,37,9,55,0,30,0
169,269,9,0,0,0,0,0,174,2,124,17,104,0,31,0,29,0,0,25,68,0,22,49,12,49,0,0,0,0,0,125,0,190,269,92,206,486,0,137,37,163,40,0,0,0,0,0,132,12,0,96,401,44,0,0,56,0,0,0,0,9,404,197,12,282,0,0,0,0,0,0,113,451,99,0,0,0,33,5,0,20,100,37,5,0,112,94,78,0,101,33,0,38,57,0,0,20,55,0,1
145,295,71,0,0,6,0,130,165,30,80,5,97,0,57,0,241,0,0,0,85,0,5,84,33,102,106,0,0,0,0,56,5,254,264,193,165,489,0,116,292,236,0,32,0,0,26,0,111,34,0,0,479,59,0,2,343,22,0,0,0,129,402,23,98,310,0,0,0,30,0,0,19,438,46,0,51,7,40,72,132,45,45,35,0,0,115,69,21,0,107,0,0,32,56,0,0,106,0,32,1
105,38,448,0,0,1,0,0,95,0,41,74,215,44,0,0,17,0,0,609,0,19,20,363,0,93,0,0,0,0,98,78,0,139,149,20,271,698,57,20,114,226,31,0,0,47,0,0,127,166,0,49,0,29,0,44,308,0,0,0,570,21,47,0,29,499,31,42,29,0,0,0,46,687,123,0,0,0,0,0,92,5,0,0,0,0,0,0,0,0,240,0,517,31,126,0,0,30,0,0,0
0,0,149,0,0,0,24,0,266,109,376,104,496,163,229,0,145,0,24,476,44,151,1,164,44,81,0,0,0,68,0,0,2,0,0,116,42,369,0,143,477,43,26,105,54,0,151,0,337,108,200,0,79,162,12,178,396,0,180,0,488,321,336,0,0,91,0,0,125,0,0,0,43,371,84,0,0,0,233,0,210,0,42,26,17,0,400,22,11,68,282,87,408,15,45,33,147,10,0,17,1
118,301,60,0,0,0,0,11,188,0,117,2,87,0,7,0,7,501,0,0,31,27,32,45,7,25,0,0,0,0,140,44,0,201,233,72,167,467,0,157,30,254,29,0,0,0,0,20,124,35,0,24,358,85,0,0,39,35,0,0,0,8,323,71,25,334,0,0,0,0,0,0,39,412,77,2,0,0,8,0,0,40,0,52,0,27,96,29,0,0,118,0,0,19,41,0,0,0,0,0,1
111,111,110,0,0,0,48,50,498,189,323,296,470,142,294,0,69,0,0,469,0,130,10,350,28,27,194,0,0,0,0,47,0,126,119,188,275,396,0,139,418,42,0,18,80,0,98,0,368,406,235,66,87,431,13,182,283,0,72,0,243,157,324,0,112,133,8,0,0,0,0,0,89,412,0,7,0,36,31,0,102,27,42,197,20,0,423,19,0,65,495,0,190,25,52,24,145,23,0,0,0
129,156,112,0,0,4,22,0,354,166,422,166,302,234,212,0,221,0,0,295,24,349,4,207,77,0,0,0,0,0,0,29,0,179,190,109,177,227,0,306,663,78,0,167,1,0,185,0,470,267,169,0,176,268,2,255,431,41,306,0,536,171,176,0,82,172,0,0,324,98,0,0,55,228,95,0,3,0,54,0,555,0,138,158,55,0,258,19,0,4,379,0,428,9,87,38,121,0,0,0,0
111,65,438,0,0,0,0,0,132,0,40,119,241,26,12,0,1,0,0,591,0,71,0,315,0,68,0,0,0,0,0,20,18,152,141,177,391,697,11,66,104,335,0,0,0,2,0,32,144,55,3,32,18,54,0,19,231,32,39,0,448,26,40,0,169,726,36,7,92,23,0,5,0,683,167,0,0,0,270,0,68,0,56,0,0,0,4,0,0,0,457,102,392,52,93,0,0,4,0,0,1
0,0,235,0,0,0,29,80,369,256,379,257,464,157,269,0,153,0,0,477,13,168,21,332,34,24,0,0,0,1,0,0,0,0,0,127,42,394,0,229,797,125,69,72,87,0,136,0,414,0,188,0,142,36,0,178,595,46,113,0,228,303,329,0,66,93,0,6,99,0,0,5,133,395,53,0,0,57,0,0,396,4,84,0,3,0,433,53,0,5,394,81,177,0,39,48,130,0,0,0,0
157,337,85,0,0,0,0,0,157,0,11,6,120,0,32,0,0,0,0,0,46,43,9,50,0,47,0,0,0,0,169,31,0,315,205,71,185,495,0,108,16,296,44,0,0,0,0,0,26,81,0,88,267,127,0,0,22,48,0,0,0,0,419,75,0,368,0,0,0,0,0,0,57,431,103,0,0,0,16,0,0,0,27,57,0,0,101,62,0,0,129,0,0,36,52,0,0,41,0,0,1
140,66,412,0,0,0,0,0,143,0,60,120,260,38,25,0,12,161,0,607,0,0,0,333,0,34,0,0,0,0,123,0,0,161,180,2,351,715,9,0,90,265,56,2,21,1,0,0,105,82,8,0,0,82,0,31,227,93,0,0,460,20,47,0,0,649,19,2,3,0,0,0,10,706,51,0,0,0,46,0,47,0,0,0,0,0,0,0,5,0,387,0,401,53,117,0,0,4,0,0,1
133,51,451,0,0,0,0,0,102,0,65,83,212,45,0,0,11,0,0,634,0,0,0,366,0,78,0,0,0,0,0,0,0,152,187,13,291,716,25,0,105,242,49,0,0,16,0,0,127,209,0,120,0,45,0,26,274,42,0,0,507,27,50,0,23,536,12,0,10,0,0,0,20,706,56,34,0,0,34,0,74,76,0,1,0,2,0,0,0,0,252,88,446,40,152,0,0,6,0,16,0
0,0,256,0,0,0,83,57,222,176,257,181,544,145,170,0,149,0,0,539,0,32,0,315,26,54,0,0,0,0,181,27,9,0,0,151,99,377,0,159,523,109,4,101,89,0,42,23,258,0,85,139,166,130,20,128,373,50,16,0,310,258,351,0,52,119,86,0,1,0,0,41,154,377,58,0,0,25,0,0,207,0,1,0,40,0,465,0,0,0,230,71,253,0,121,68,50,29,0,0,0
0,0,253,0,34,0,53,66,117,121,437,131,495,233,155,0,145,0,61,483,0,154,4,265,70,61,0,0,0,13,0,0,0,0,0,106,61,310,0,179,363,99,0,84,82,0,173,91,413,0,88,15,153,90,0,180,291,50,22,0,357,323,325,0,35,62,0,0,0,0,0,11,33,309,57,0,0,49,0,32,115,1,84,0,43,4,420,21,57,0,123,0,301,0,79,47,66,48,0,0,0
168,344,33,0,0,0,0,21,176,64,62,0,99,0,93,0,177,0,0,0,36,0,0,97,12,7,0,0,0,0,0,66,0,238,223,185,221,451,0,106,255,189,0,24,0,0,54,1,17,63,0,0,398,143,24,9,253,21,0,0,0,128,447,0,117,301,0,0,0,15,0,31,36,402,75,0,0,0,8,4,66,69,0,25,25,0,144,98,0,0,128,0,0,38,59,26,0,22,0,13,1
144,394,32,4,109,0,0,22,144,54,51,0,89,0,59,0,0,0,6,0,362,12,0,139,40,16,0,0,0,0,64,0,37,369,232,534,151,442,0,185,44,187,39,4,29,0,47,23,40,66,0,0,600,108,0,33,12,0,0,0,4,28,512,131,13,291,0,0,0,0,0,0,65,417,0,0,15,6,8,28,0,0,102,98,64,0,145,274,0,78,96,76,0,67,19,58,0,109,0,27,0
0,0,253,0,0,0,56,52,378,179,161,209,565,113,143,0,24,0,0,563,11,53,5,350,0,54,61,0,0,12,123,58,11,0,0,80,24,399,0,121,149,104,132,0,69,0,43,0,173,1,74,142,105,40,0,87,103,0,0,0,65,69,360,0,26,100,3,0,0,0,0,0,83,401,108,0,14,42,15,0,31,8,10,2,17,2,489,0,142,15,390,57,40,0,40,22,30,15,0,0,1
